"Step","Group: CGBRBM_cd_v2 - train/fe_diff","Group: CGBRBM_cd_v2 - train/fe_diff__MIN","Group: CGBRBM_cd_v2 - train/fe_diff__MAX"
"1","0.4902610778808594","0.4902610778808594","0.4902610778808594"
"3","0.4829864501953125","0.4829864501953125","0.4829864501953125"
"5","0.4763031005859375","0.4763031005859375","0.4763031005859375"
"7","0.469879150390625","0.469879150390625","0.469879150390625"
"9","0.46356964111328125","0.46356964111328125","0.46356964111328125"
"11","0.45749664306640625","0.45749664306640625","0.45749664306640625"
"13","0.4516029357910156","0.4516029357910156","0.4516029357910156"
"15","0.44586181640625","0.44586181640625","0.44586181640625"
"17","0.4402961730957031","0.4402961730957031","0.4402961730957031"
"19","0.434906005859375","0.434906005859375","0.434906005859375"
"21","0.4296760559082031","0.4296760559082031","0.4296760559082031"
"23","0.424591064453125","0.424591064453125","0.424591064453125"
"25","0.41962432861328125","0.41962432861328125","0.41962432861328125"
"27","0.4148597717285156","0.4148597717285156","0.4148597717285156"
"29","0.410186767578125","0.410186767578125","0.410186767578125"
"31","0.4056549072265625","0.4056549072265625","0.4056549072265625"
"33","0.4012794494628906","0.4012794494628906","0.4012794494628906"
"35","0.397003173828125","0.397003173828125","0.397003173828125"
"37","0.3928375244140625","0.3928375244140625","0.3928375244140625"
"39","0.3888130187988281","0.3888130187988281","0.3888130187988281"
"41","0.3849029541015625","0.3849029541015625","0.3849029541015625"
"43","0.3811073303222656","0.3811073303222656","0.3811073303222656"
"45","0.3773994445800781","0.3773994445800781","0.3773994445800781"
"47","0.3737831115722656","0.3737831115722656","0.3737831115722656"
"49","0.370269775390625","0.370269775390625","0.370269775390625"
"51","0.3669090270996094","0.3669090270996094","0.3669090270996094"
"53","0.36356353759765625","0.36356353759765625","0.36356353759765625"
"55","0.3603553771972656","0.3603553771972656","0.3603553771972656"
"57","0.3572196960449219","0.3572196960449219","0.3572196960449219"
"59","0.35416412353515625","0.35416412353515625","0.35416412353515625"
"61","0.351165771484375","0.351165771484375","0.351165771484375"
"63","0.3483085632324219","0.3483085632324219","0.3483085632324219"
"65","0.34549713134765625","0.34549713134765625","0.34549713134765625"
"67","0.3427581787109375","0.3427581787109375","0.3427581787109375"
"69","0.3401222229003906","0.3401222229003906","0.3401222229003906"
"71","0.337493896484375","0.337493896484375","0.337493896484375"
"73","0.3349647521972656","0.3349647521972656","0.3349647521972656"
"75","0.33251190185546875","0.33251190185546875","0.33251190185546875"
"77","0.330108642578125","0.330108642578125","0.330108642578125"
"79","0.3277854919433594","0.3277854919433594","0.3277854919433594"
"81","0.3255157470703125","0.3255157470703125","0.3255157470703125"
"83","0.32324981689453125","0.32324981689453125","0.32324981689453125"
"85","0.3211250305175781","0.3211250305175781","0.3211250305175781"
"87","0.31899261474609375","0.31899261474609375","0.31899261474609375"
"89","0.31696319580078125","0.31696319580078125","0.31696319580078125"
"91","0.3149223327636719","0.3149223327636719","0.3149223327636719"
"93","0.3130035400390625","0.3130035400390625","0.3130035400390625"
"95","0.31108856201171875","0.31108856201171875","0.31108856201171875"
"97","0.3092536926269531","0.3092536926269531","0.3092536926269531"
"99","0.3074455261230469","0.3074455261230469","0.3074455261230469"
"101","0.3056678771972656","0.3056678771972656","0.3056678771972656"
"103","0.3039436340332031","0.3039436340332031","0.3039436340332031"
"105","0.3022575378417969","0.3022575378417969","0.3022575378417969"
"107","0.3006172180175781","0.3006172180175781","0.3006172180175781"
"109","0.2990226745605469","0.2990226745605469","0.2990226745605469"
"111","0.2974510192871094","0.2974510192871094","0.2974510192871094"
"113","0.2959136962890625","0.2959136962890625","0.2959136962890625"
"115","0.2944488525390625","0.2944488525390625","0.2944488525390625"
"117","0.2929954528808594","0.2929954528808594","0.2929954528808594"
"119","0.29155731201171875","0.29155731201171875","0.29155731201171875"
"121","0.2901611328125","0.2901611328125","0.2901611328125"
"123","0.2888145446777344","0.2888145446777344","0.2888145446777344"
"125","0.28748321533203125","0.28748321533203125","0.28748321533203125"
"127","0.28617095947265625","0.28617095947265625","0.28617095947265625"
"129","0.2849388122558594","0.2849388122558594","0.2849388122558594"
"131","0.28368377685546875","0.28368377685546875","0.28368377685546875"
"133","0.2824516296386719","0.2824516296386719","0.2824516296386719"
"135","0.28125762939453125","0.28125762939453125","0.28125762939453125"
"137","0.2801322937011719","0.2801322937011719","0.2801322937011719"
"139","0.27899169921875","0.27899169921875","0.27899169921875"
"141","0.27787017822265625","0.27787017822265625","0.27787017822265625"
"143","0.2768211364746094","0.2768211364746094","0.2768211364746094"
"145","0.27574920654296875","0.27574920654296875","0.27574920654296875"
"147","0.27471160888671875","0.27471160888671875","0.27471160888671875"
"149","0.2736778259277344","0.2736778259277344","0.2736778259277344"
"151","0.2726860046386719","0.2726860046386719","0.2726860046386719"
"153","0.27175140380859375","0.27175140380859375","0.27175140380859375"
"155","0.2707633972167969","0.2707633972167969","0.2707633972167969"
"157","0.2698402404785156","0.2698402404785156","0.2698402404785156"
"159","0.2689399719238281","0.2689399719238281","0.2689399719238281"
"161","0.2680854797363281","0.2680854797363281","0.2680854797363281"
"163","0.2671928405761719","0.2671928405761719","0.2671928405761719"
"165","0.26633453369140625","0.26633453369140625","0.26633453369140625"
"167","0.2654609680175781","0.2654609680175781","0.2654609680175781"
"169","0.2646522521972656","0.2646522521972656","0.2646522521972656"
"171","0.26384735107421875","0.26384735107421875","0.26384735107421875"
"173","0.26306915283203125","0.26306915283203125","0.26306915283203125"
"175","0.2622871398925781","0.2622871398925781","0.2622871398925781"
"177","0.2615242004394531","0.2615242004394531","0.2615242004394531"
"179","0.2607688903808594","0.2607688903808594","0.2607688903808594"
"181","0.2600593566894531","0.2600593566894531","0.2600593566894531"
"183","0.2593231201171875","0.2593231201171875","0.2593231201171875"
