"Step","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: DCBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MIN","Group: CGBRBM_cd_qed_v1_aux_True - train/fe_diff__MAX"
"49","0.5593433380126953","0.3644828796386719","0.7542037963867188","-0.1710948944091797","-0.3735847473144531","0.03139495849609375"
"51","0.5482769012451172","0.357879638671875","0.7386741638183594","-0.20750045776367188","-0.4194831848144531","0.004482269287109375"
"53","0.5356254577636719","0.35152435302734375","0.7197265625","-0.231536865234375","-0.4259376525878906","-0.037136077880859375"
"55","0.5317668914794922","0.3516883850097656","0.7118453979492188","-0.25807762145996094","-0.4671897888183594","-0.0489654541015625"
"57","0.5170536041259766","0.3442840576171875","0.6898231506347656","-0.292236328125","-0.4915313720703125","-0.0929412841796875"
"59","0.5081157684326172","0.3409767150878906","0.6752548217773438","-0.3255500793457031","-0.5205879211425781","-0.13051223754882812"
"61","0.5016021728515625","0.33935546875","0.663848876953125","-0.34778404235839844","-0.5468711853027344","-0.1486968994140625"
"63","0.4898853302001953","0.33306121826171875","0.6467094421386719","-0.3846282958984375","-0.5740432739257812","-0.19521331787109375"
"65","0.4801311492919922","0.3323020935058594","0.627960205078125","-0.4080162048339844","-0.5877952575683594","-0.22823715209960938"
"67","0.47336769104003906","0.3288459777832031","0.617889404296875","-0.43890953063964844","-0.6167259216308594","-0.2610931396484375"
"69","0.46405601501464844","0.3251838684082031","0.6029281616210938","-0.45981788635253906","-0.6464805603027344","-0.27315521240234375"
"71","0.456878662109375","0.3208732604980469","0.5928840637207031","-0.4863910675048828","-0.6595802307128906","-0.313201904296875"
"73","0.4504070281982422","0.3189125061035156","0.5819015502929688","-0.5072231292724609","-0.6764945983886719","-0.33795166015625"
"75","0.4440937042236328","0.3190727233886719","0.5691146850585938","-0.5362720489501953","-0.6983909606933594","-0.37415313720703125"
"77","0.4347209930419922","0.3127479553222656","0.5566940307617188","-0.5402450561523438","-0.7186203002929688","-0.36186981201171875"
"79","0.4277458190917969","0.31024169921875","0.5452499389648438","-0.5788230895996094","-0.7482490539550781","-0.4093971252441406"
"81","0.418609619140625","0.30362701416015625","0.5335922241210938","-0.6083984375","-0.76605224609375","-0.45074462890625"
"83","0.41367149353027344","0.3019866943359375","0.5253562927246094","-0.6270198822021484","-0.7966804504394531","-0.45735931396484375"
"85","0.41033935546875","0.30072784423828125","0.5199508666992188","-0.6518173217773438","-0.8018760681152344","-0.5017585754394531"
"87","0.4015541076660156","0.2979545593261719","0.5051536560058594","-0.6736373901367188","-0.8193359375","-0.5279388427734375"
"89","0.3967266082763672","0.2961845397949219","0.4972686767578125","-0.7022037506103516","-0.8599128723144531","-0.54449462890625"
"91","0.3895301818847656","0.2925376892089844","0.4865226745605469","-0.7206783294677734","-0.8615570068359375","-0.5797996520996094"
"93","0.38245201110839844","0.2908172607421875","0.4740867614746094","-0.7351551055908203","-0.8900413513183594","-0.5802688598632812"
"95","0.3781890869140625","0.28702545166015625","0.46935272216796875","-0.7524623870849609","-0.898101806640625","-0.6068229675292969"
"97","0.3739051818847656","0.2865562438964844","0.4612541198730469","-0.7789249420166016","-0.9287567138671875","-0.6290931701660156"
"99","0.3638725280761719","0.2803764343261719","0.4473686218261719","-0.7905788421630859","-0.9306297302246094","-0.6505279541015625"
"101","0.3635425567626953","0.2793159484863281","0.4477691650390625","-0.8104839324951172","-0.9505081176757812","-0.6704597473144531"
"103","0.3583221435546875","0.27812957763671875","0.43851470947265625","-0.8343868255615234","-0.9699058532714844","-0.6988677978515625"
"105","0.34993934631347656","0.26952362060546875","0.4303550720214844","-0.8634757995605469","-1.0002670288085938","-0.7266845703125"
"107","0.3492546081542969","0.27262115478515625","0.4258880615234375","-0.8586177825927734","-0.994415283203125","-0.7228202819824219"
"109","0.34342384338378906","0.2692108154296875","0.4176368713378906","-0.8903141021728516","-1.0184478759765625","-0.7621803283691406"
"111","0.34049224853515625","0.2658500671386719","0.4151344299316406","-0.9106712341308594","-1.0310516357421875","-0.7902908325195312"
"113","0.33476829528808594","0.26317596435546875","0.4063606262207031","-0.9291439056396484","-1.0548019409179688","-0.8034858703613281"
"115","0.32944297790527344","0.25946044921875","0.3994255065917969","-0.9470863342285156","-1.0648918151855469","-0.8292808532714844"
"117","0.3247241973876953","0.2590827941894531","0.3903656005859375","-0.9595546722412109","-1.0807151794433594","-0.8383941650390625"
"119","0.3230628967285156","0.2566642761230469","0.3894615173339844","-0.9660472869873047","-1.0883293151855469","-0.8437652587890625"
"121","0.319580078125","0.2566719055175781","0.3824882507324219","-0.9850692749023438","-1.104583740234375","-0.8655548095703125"
"123","0.3139019012451172","0.2519187927246094","0.375885009765625","-0.9955577850341797","-1.1080513000488281","-0.8830642700195312"
"125","0.3108100891113281","0.249755859375","0.37186431884765625","-1.0137748718261719","-1.1329612731933594","-0.8945884704589844"
"127","0.30556297302246094","0.24713516235351562","0.36399078369140625","-1.0307350158691406","-1.1466560363769531","-0.9148139953613281"
"129","0.3034343719482422","0.24393081665039062","0.36293792724609375","-1.0452194213867188","-1.1519432067871094","-0.9384956359863281"
"131","0.30028533935546875","0.2426300048828125","0.357940673828125","-1.0632095336914062","-1.15631103515625","-0.9701080322265625"
"133","0.2956657409667969","0.24053573608398438","0.3507957458496094","-1.060201644897461","-1.1505241394042969","-0.969879150390625"
